"X","x"
1,0.336064071522894
2,0.607651405355164
3,0.80254518779103
4,0.868497502529938
5,0.60094795146106
6,0.332791874772045
7,0.843508568449235
8,0.860999038619877
9,0.651058158434014
10,0.464438137698008
11,0.451216830579909
12,0.56589864864858
13,0.748321875851399
14,0.908831781841969
15,0.506533944972612
16,0.801697742545118
17,0.995868717133187
18,0.995771621943235
19,0.635968197140956
20,0.627058226214417
21,0.76429184910619
22,0.656304624264792
23,0.573231201326459
24,0.919719131440484
25,0.629102961225523
26,0.568331860013495
27,0.677443104896048
28,0.315391833011725
29,0.59625341857766
30,0.69442266248788
31,0.394560783026505
32,0.474073795112958
33,0.701362335780156
34,0.45014195141718
35,0.753827749204298
36,0.603386620001267
37,0.663694791231767
38,0.488609638813993
39,0.640698531405461
40,0.696965273601728
41,0.925697599287848
42,0.587286410802264
43,0.544879087083095
44,0.503006816939022
45,0.832742359723336
46,0.892576249424559
47,0.899871420622348
48,0.502953412692882
49,0.857864142428623
50,0.713597459633839
51,0.877837211845914
52,0.852105736859136
53,0.666584594267533
54,0.666584594267533
55,0.716369871464018
56,0.628064455992529
57,0.515969683875421
58,0.800913355633401
59,0.882066502289187
60,0.717307957843379
61,0.507517469852241
62,0.800059522749142
63,0.695277502349873
64,0.463090038963654
65,0.46078793587494
66,0.409900913326696
67,0.570042368226706
68,0.284043475378505
69,0.579494975284317
70,0.641420783731351
71,0.697521985412027
72,0.827873895914792
73,0.511746855457047
74,0.810356191939907
75,0.655596628093479
76,0.721236040901587
77,0.416036735558183
78,0.727480692503173
79,0.414597449287263
80,0.951028883814449
81,0.370986299666545
82,0.528064741116029
83,0.752211597366602
84,0.618692285329076
85,0.519437128296481
86,0.633309303425799
87,0.590593752991934
88,0.620860701502137
89,0.948911457797719
90,0.655780739722821
91,0.651347501568706
92,0.626963303138897
93,0.708358323596105
94,0.708358323596105
95,0.800812130407942
96,0.943056730505843
97,0.326815360948477
98,0.708475074699827
99,0.588888833931795
100,0.754729803066532
101,0.498723298695227
102,0.756650917845716
103,0.619304844577313
104,0.361948936869524
105,0.693169129938738
106,0.522516715551163
107,0.756646858978667
108,0.916677840546121
109,0.5780978785105
110,0.545102771285039
111,0.617300503389807
112,0.99631967225577
113,0.868883372686691
114,0.660229429236981
115,0.860622045861642
116,0.861405791583509
117,0.781712732912056
118,0.39202155749986
119,0.576886224668737
120,0.54087734503274
121,0.976558219850308
122,0.728330743390834
123,0.475312729071743
124,0.858366067647034
125,0.338377930618761
126,0.711339945241896
127,0.837950630664065
128,0.647885378555934
129,0.332141274894787
130,0.56890908743808
131,0.713091002982247
132,0.652894281699931
133,0.464278300164723
134,0.657864489721664
135,0.998451690275255
136,0.592459357234085
137,0.493295718918712
138,0.670061693037962
139,0.376162512153582
140,0.325218763301454
141,0.445624199118651
142,0.667806045434843
143,0.719045227881864
144,0.608374132466879
145,0.806844455879724
146,0.969818412941491
147,0.57929349499955
148,0.908161484845775
149,0.84506654092978
150,0.877565223068196
151,0.760781641490587
152,0.996854936976128
153,0.791595236096674
154,0.793639341368894
155,0.65742850330059
156,0.399405197023493
157,0.839674110229022
158,0.929971204540248
159,0.627893708565679
160,0.695840789807817
161,0.858916333589313
162,0.37598836523075
163,0.401959538553489
164,0.36714367141875
165,0.803369175366567
166,0.280071629539755
167,0.83216998292271
